台北市信義區虎林街,公寓,1 房 2 廳 1 衛,22.58,44,25800000,房仲網
台北市信義區松山路,公寓,3 房 2 廳 2 衛,24.24,38,20500000,房仲網
台北市信義區福德街,公寓,2 房 2 廳 1 衛,19.44,28,15000000,房仲網
台北市信義區基隆路一段,大樓,0 房 1 廳 1 衛,10.03,9,15500000,房仲網
台北市信義區林口街,公寓,0 房 1 廳 1 衛,20.46,45,22000000,房仲網
台北市信義區忠孝東路五段,公寓,2 房 1 廳 1 衛,12.96,44,22000000,房仲網
台北市信義區林口街,公寓,3 房 2 廳 1 衛,23.57,38,17500000,房仲網
台北市信義區虎林街,大樓,1 房 1 廳 1 衛,19.17,9,18880000,房仲網
台北市信義區林口街,公寓,3 房 2 廳 1 衛,23.57,40,17500000,房仲網
台北市信義區文昌街,大樓,0 房 1 廳 1 衛,12.54,13,16200000,房仲網
台北市信義區基隆路一段,公寓,3 房 2 廳 1 衛,23.42,38,15980000,房仲網
台北市信義區福德街,公寓,2 房 2 廳 1 衛,19.44,28,15000000,房仲網
台北市信義區林口街,公寓,3 房 2 廳 1 衛,24.8,42,29000000,房仲網
台北市信義區吳興街,大樓,0 房 1 廳 2 衛,19.46,1,14980000,房仲網
台北市信義區福德路,公寓,2 房 2 廳 1 衛,19.44,28,15000000,房仲網
台北市信義區福德街,公寓,2 房 2 廳 1 衛,19.44,28,15000000,房仲網
福德街X號,公寓,2 房 2 廳 1 衛,22.79,36,19540000,房仲網
台北市信義區基隆路二段,大樓,1 房 1 廳 1 衛,13.73,25,11000000,房仲網
台北市信義區光復南路,大樓,0 房 1 廳 1 衛,12.17,14,16800000,房仲網
台北市信義區松隆路,透天,1 房 1 廳 1 衛,11.43,18,11000000,房仲網
台北市信義區松平路,大樓,1 房 2 廳 1 衛,22.93,7,31660000,房仲網
台北市信義區忠孝東路五段,大樓,0 房 1 廳 1 衛,10.3,6,12500000,房仲網
台北市信義區松隆路,華廈,0 房 1 廳 1 衛,15.25,25,25000000,房仲網
台北市信義區永吉路,華廈,1 房 2 廳 1 衛,14.03,3,17800000,房仲網
台北市信義區信義路五段,大樓,1 房 0 廳 1 衛,23.83,16,21340000,房仲網
台北市信義區松隆路,大樓,1 房 1 廳 1 衛,9.79,19,9680000,房仲網
台北市信義區松勤街,大樓,1 房 1 廳 1 衛,20.59,8,28000000,房仲網
台北市信義區福德街,公寓,2 房 1 廳 1 衛,23.75,41,18600000,房仲網
台北市信義區松山路,大樓,2 房 1 廳 2 衛,23.12,24,19800000,房仲網
台北市信義區崇德街,大樓,1 房 1 廳 1 衛,14.06,24,1250.00000,房仲網
台北市信義區信義路五段,公寓,1 房 1 廳 1 衛,10.1,6,1110.00000,房仲網
台北市信義區信義路四段,大樓,0 房 1 廳 1 衛,18.57,33,3580.00000,房仲網
台北市信義區林口街,公寓,3 房 2 廳 2 衛,20.46,45,24380000,房仲網
台北市信義區松隆路,公寓,2 房 1 廳 1 衛,19.47,42,16600000,房仲網
台北市信義區忠孝東路五段,公寓,3 房 2 廳 2 衛,20.21,40,23000000,房仲網
台北市信義區福德街,公寓,3 房 2 廳 1 衛,22.79,36,13980000,房仲網
台北市信義區和平東路三段,大樓,1 房 1 廳 1 衛,13.63,7,13680000,房仲網
台北市信義區莊敬路,大樓,2 房 1 廳 1 衛,19.08,22,1980.00000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,15.97,16,18980000,房仲網
台北市信義區富陽街,公寓,3 房 2 廳 2 衛,21.12,47,21800000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,15.04,6,19000000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,17.92,18,10800000,房仲網
台北市信義區信義路五段,大樓,0 房 1 廳 1 衛,10.11,6,11800000,房仲網
台北市信義區忠孝東路五段,大樓,2 房 1 廳 1 衛,19.95,7,28800000,房仲網
台北市信義區基隆路二段,大樓,2 房 2 廳 1 衛,16.29,32,1498.00000,房仲網
台北市信義區文昌街,大樓,2 房 2 廳 1 衛,23.25,13,2760.00000,房仲網
基隆路一段X號7樓,大樓,1 房 1 廳 1 衛,14.42,13,13260000,房仲網
台北市信義區基隆路二段,大樓,1 房 1 廳 1 衛,12.48,25,11900000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,14.36,14,18000000,房仲網
台北市信義區松勤街,大樓,1 房 1 廳 1 衛,20.59,7,30350000,房仲網
台北市信義區忠孝東路五段,公寓,2 房 2 廳 2 衛,21.62,42,24880000,房仲網
台北市信義區光復南路,大樓,1 房 2 廳 1 衛,20.18,7,23800000,房仲網
台北市信義區虎林街,公寓,2 房 2 廳 0 衛,14.51,47,14800000,房仲網
台北市信義區虎林街,公寓,4 房 4 廳 2 衛,23.77,45,28800000,房仲網
台北市信義區基隆路一段,大樓,1 房 1 廳 1 衛,14.69,13,17880000,房仲網
台北市信義區基隆路二段,大樓,2 房 2 廳 1 衛,20.2,35,1800.00000,房仲網
台北市信義區忠孝東路五段,大樓,1 房 1 廳 1 衛,22.26,10,22000000,房仲網
台北市信義區富陽街,公寓,2 房 2 廳 1 衛,21.11,43,19980000,房仲網
台北市信義區松勤街,大樓,1 房 1 廳 1 衛,15.71,7,28500000,房仲網
台北市信義區基隆路一段,大樓,0 房 1 廳 1 衛,20.07,9,16880000,房仲網
台北市信義區林口街,公寓,3 房 2 廳 1 衛,23.56,39,15800000,房仲網
台北市信義區永吉路,透天,5 房 0 廳 5 衛,22.55,52,22700000,房仲網
台北市信義區富陽街,公寓,3 房 2 廳 2 衛,21.11,43,20800000,房仲網
台北市信義區松山路,華廈,2 房 1 廳 2 衛,23.12,24,19800000,房仲網
台北市信義區光復南路,大樓,1 房 0 廳 1 衛,9.99,34,999.00000,房仲網
台北市信義區松山路,公寓,1 房 1 廳 1 衛,23.91,46,17600000,房仲網
台北市信義區信義路五段,大樓,0 房 1 廳 1 衛,15.33,18,17000000,房仲網
台北市信義區信安街,大樓,3 房 2 廳 1 衛,22.52,25,1850.00000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,12.18,8,14580000,房仲網
台北市信義區吳興街,公寓,2 房 1 廳 1 衛,20.1,22,12800000,房仲網
